Table 80,,,,,,,,
CALIFORNIA,,,,,,,,
Full-time Law Enforcement Employees ,,,,,,,,
"by Metropolitan and Nonmetropolitan Counties, 2012",,,,,,,,
Metropolitan/Nonmetropolitan,County,"Total law
enforcement
employees","Total
officers","Total
civilians",,,, 
Metropolitan Counties,Alameda,"1,599",952,647,,,,
,Butte,297,106,191,,,,
,Contra Costa,940,640,300,,,,
,El Dorado,341,153,188,,,,
,Fresno,966,779,187,,,,
,Imperial,270,183,87,,,,
,Kern,"1,163",884,279,,,,
,Kings,227,74,153,,,,
,Los Angeles,"16,796","9,274","7,522",,,,
,Madera,104,72,32,,,,
,Marin,297,192,105,,,,
,Merced,218,102,116,,,,
,Monterey,392,291,101,,,,
,Napa,126,99,27,,,,
,Orange,"3,644","1,885","1,759",,,,
,Placer,423,229,194,,,,
,Riverside,"3,706","1,916","1,790",,,,
,Sacramento,"1,868","1,186",682,,,,
,San Benito,44,21,23,,,,
,San Bernardino,"3,186","1,718","1,468",,,,
,San Diego,"3,816","2,270","1,546",,,,
,San Francisco,"1,017",860,157,,,,
,San Joaquin,682,280,402,,,,
,San Luis Obispo,378,152,226,,,,
,San Mateo,601,314,287,,,,
,Santa Barbara,581,413,168,,,,
,Santa Clara,"1,517","1,131",386,,,,
,Santa Cruz,286,124,162,,,,
,Shasta,209,133,76,,,,
,Solano,409,104,305,,,,
,Sonoma,589,223,366,,,,
,Stanislaus,518,388,130,,,,
,Sutter,129,104,25,,,,
,Tulare,688,501,187,,,,
,Ventura,"1,219",748,471,,,,
,Yolo,227,83,144,,,,
,Yuba,172,132,40,,,,
Nonmetropolitan Counties,Alpine,17,14,3,,,,
,Amador,85,41,44,,,,
,Calaveras,91,50,41,,,,
,Colusa,63,30,33,,,,
,Del Norte,57,26,31,,,,
,Glenn,60,24,36,,,,
,Humboldt,210,168,42,,,,
,Inyo,53,34,19,,,,
,Lake,138,48,90,,,,
,Lassen,69,51,18,,,,
,Mariposa,69,56,13,,,,
,Mendocino,155,120,35,,,,
,Modoc,25,13,12,,,,
,Mono,50,27,23,,,,
,Nevada,163,64,99,,,,
,Plumas,54,29,25,,,,
,Sierra,16,10,6,,,,
,Siskiyou,101,77,24,,,,
,Tehama,104,72,32,,,,
,Trinity,40,18,22,,,,
,Tuolumne,119,58,61,,,,
